,slr_cum_ret,en_cum_ret,pls_cum_ret
198004,1.0242600318742916,1.0356873982818797,1.0356873982818797
198005,1.0176400128048357,1.0289935216165227,1.0289935216165227
198006,1.0640095191925594,1.0780014880521913,1.0780014880521913
198007,1.1443630207078932,1.1594116565152215,1.1926866771935738
198008,1.2250163480168819,1.2183972715181899,1.2533651745717707
198009,1.3265004511026703,1.2869010175921924,1.3299452846725934
198010,1.3835848650133822,1.3515387647863224,1.398499161980301
198011,1.4275303549558334,1.323177241153164,1.4476809445209196
198012,1.491290437434548,1.41222159494288,1.5689493551180824
198101,1.5738422955638784,1.4769525883550447,1.5619197032750314
198102,1.45985550177961,1.3854169488233017,1.4976212322040878
198103,1.4461646647552224,1.3724242124640922,1.5202920961464166
198104,1.4006776720277632,1.3561049005030474,1.5022145070426953
198105,1.4246760541583463,1.390999703045391,1.5408689493207621
198106,1.4185517043076878,1.3784461150024527,1.5643410324849505
198107,1.309399906852249,1.2723802799038197,1.4439713378093781
198108,1.3082863019513293,1.3007290828374374,1.4769281944919583
198109,1.2578310442637242,1.21505962546854,1.375276540609034
198110,1.4082028579844432,1.3321325909243888,1.507786665672958
198111,1.4813568163280393,1.405876087656143,1.613679968744195
198112,1.5735736998360468,1.4472713462021467,1.6611938998105091
198201,1.5412558459872785,1.4434369190636467,1.6567927023512634
198202,1.354968684083022,1.3280167577502593,1.6058346936347427
198203,1.1649134606512153,1.1417419570258287,1.3805916492171955
198204,1.2653014180761641,1.226904104951731,1.4753714598492762
198205,1.2384809114451019,1.1938192102577665,1.3972650185758169
198206,1.2237278907400717,1.1706359373085657,1.3719323379682622
198207,1.2366684939335397,1.1692410436025846,1.376097741956199
198208,1.3722794027972085,1.2998196130152038,1.5038393148377043
198209,1.4684445493131546,1.3755297902838959,1.6111401861655028
198210,1.5333965560917977,1.4290748689250525,1.6738568416530983
198211,1.5224063552745717,1.4216309430884133,1.5748643515187208
198212,1.438036418260642,1.3456377169008373,1.5006223647650365
198301,1.5173184696498283,1.4180200736393467,1.5813414037544977
198302,1.6056088970700941,1.500532480162038,1.6484665850632085
198303,1.6513821223629497,1.5199540381040721,1.6624186711289062
198304,1.635556861746202,1.5123631057747087,1.6296457266048243
198305,1.7415964545326987,1.6104155621781213,1.7591521559597765
198306,1.8207431598142438,1.6836007627731266,1.8234241728509655
198307,1.9169053510584548,1.77028148106419,1.9310072653193295
198308,1.9261426620985758,1.781363278629412,1.8588823966148973
198309,2.0262180617728442,1.8608924104164295,1.9418723767444406
198310,1.9411859505317617,1.8254872583472108,1.862578911995543
198311,2.2222226369832296,2.0743343057218677,2.116482225005813
198312,2.2711304874948164,2.080872239310537,2.1231530013558535
198401,2.4885980011482944,2.3192688394842715,2.280361147957188
198402,2.3646880142271107,2.265196258558243,2.173205142407075
198403,2.3947832540790635,2.3154785494056096,2.243456448870382
198404,2.3866554338741794,2.3005979676458095,2.2342501089473767
198405,2.444569090134274,2.37366696552368,2.272178703778491
198406,2.4706012792689376,2.378260856831435,2.2765761791398464
198407,2.2562115842822092,2.1698689527640003,2.0446581555727734
198408,2.395684518774413,2.30400441790115,2.118428277360934
198409,2.2583911979828626,2.1549248182877503,2.0038936899275543
198410,2.07963779882287,1.9882953920403243,1.8375162670687468
198411,2.2237493014816265,2.124975035416627,1.9638310335197158
198412,2.2877066247020577,2.155464809520741,2.0057385269046657
198501,2.460163694535659,2.2884858861885355,2.1672107362987476
198502,2.516440423634155,2.369151603291323,2.2330465410866336
198503,2.554401547022438,2.3171204172748037,2.288019424829354
198504,2.488365421424097,2.2981916607516886,2.2464967891093384
198505,2.486023256970455,2.278125021487113,2.2916370795577623
198506,2.67505401614695,2.3293384765286107,2.465070090615281
198507,2.8462463352985674,2.43530709851263,2.5394183801742085
198508,3.0212840864797887,2.5248625899575474,2.6328024388662943
198509,3.0148313938130946,2.5048966056376556,2.5868699292526074
198510,3.357653898444624,2.7897334061134553,2.8595230999198797
198511,3.519863871628849,2.924506850513554,2.925782959169311
198512,3.475108013429814,2.966768237573424,3.0488346621223434
198601,3.656002949527329,3.1612800634400604,3.1495614959509326
198602,3.5083451184810115,3.0283646244538205,3.0367080221558798
198603,3.4985709180808757,2.9752547388127843,2.987660849560146
198604,3.6125037820643726,3.072145526911874,3.104304504706541
198605,3.6604251468817255,3.0473352861548952,3.0488381134390257
198606,3.522957211607707,2.966257245398732,2.984616920608604
198607,3.2582973101526425,2.761744310312188,2.7788381509184594
198608,3.288506648091786,2.610075694612379,2.714256873933488
198609,3.4291171931450384,2.7484395838547524,2.911516471580876
198610,3.164969302950006,2.5367248839736747,2.8154508762109454
198611,3.109914534458129,2.4937835875557055,2.757360732983344
198612,3.058536492660954,2.452584475498155,2.6321691500259674
198701,3.12909153169554,2.459841312950369,2.631479516593679
198702,3.511228925973579,2.749472806475996,2.922370576292965
198703,3.4927751356527086,2.5802263643724133,2.823497158338568
198704,3.473282754247861,2.4579213494578434,2.671701799025254
198705,3.54097663434382,2.5058259529376508,2.7212436140458505
198706,3.521826146371698,2.4633333043938905,2.6727351942493756
198707,3.7426587006409475,2.6177941332415164,2.8403263572712865
198708,4.017269543920944,2.740493616259921,3.0554673283284126
198709,4.259902662144381,2.853186876144839,3.181112785649752
198710,4.400748313939417,2.9584077122768058,3.338981143612912
198711,4.624279350290316,3.0913091855087482,3.455766260321463
198712,5.2819147802008874,3.341318950514208,3.6368001926533826
198801,5.702312819062121,3.686268639684333,4.010415254924597
198802,6.763342208764108,4.3778099700567275,4.762766255847252
198803,7.187029969055859,4.629544974445609,5.0366372078802355
198804,7.302571247427015,4.691984944961311,5.075868132505763
198805,6.817020725459375,4.3800132213176735,4.7679166663630825
198806,7.432894126731481,4.826212369761726,5.264282313241692
198807,7.635730406694182,4.943698148726305,5.400856253794214
198808,7.60446749831421,4.831317547974441,5.386963260137996
198809,7.454423772975872,4.73599083596584,5.280673104253833
198810,7.592589147913906,4.823770920581701,5.2725245093092985
