,Type,Avg Annualized Ret,Avg Annualized XRet,Std. Dev,Sharpe Ratio,R^2,CAPM Alpha,FF4 Alpha,FF4 IR
0,SLR,0.2435855485546381,0.20254655484394624,0.1927160922196418,1.0510100765902854,0.00229290472856003,0.17505440435704978,0.1844899906184758,0.9573149211027453
1,EN,0.2457506131431938,0.20471161943250202,0.19601436240986075,1.0443705089551323,0.0023441747284643766,0.17739820227680622,0.1919026531977859,0.9790234288879436
2,PLS,0.23893957127749904,0.19790057756680723,0.198044483700453,0.9992733645948785,0.0023686864064826896,0.16961597942681916,0.18549336435886363,0.9366247465868667
