,ls_ret,value,cumulative_ret,MKTRF,SMB,HML,RF,MOM,DATE,yyyymm,ls_sub_rf
198004,0.0242600318742916,7700840.625,1.0242600318742916,0.0397,0.0105,0.0106,0.0126,-0.0043,1980-04-30,198004,0.011660031874291599
198005,-0.00646322111909587,1896444.875,1.0176400128048357,0.0526,0.0213,0.0038,0.008100000000000001,-0.011200000000000002,1980-05-30,198005,-0.014563221119095872
198006,0.04556572639072935,5014749.5,1.0640095191925594,0.030600000000000002,0.0166,-0.0076,0.0060999999999999995,0.016200000000000003,1980-06-30,198006,0.03946572639072935
198007,0.07551953254733233,4896459.5,1.1443630207078932,0.0649,0.0414,-0.0641,0.0053,0.0039000000000000003,1980-07-31,198007,0.07021953254733233
198008,0.07047879549541639,6974602.125,1.2250163480168819,0.018000000000000002,0.0392,-0.026000000000000002,0.0064,0.0321,1980-08-29,198008,0.06407879549541638
198009,0.08284306021717687,2010013.0,1.3265004511026703,0.0219,0.0098,-0.045899999999999996,0.0075,0.053899999999999997,1980-09-30,198009,0.07534306021717688
198010,0.04303384432569145,14531773.5,1.3835848650133822,0.0106,0.024700000000000003,-0.0276,0.0095,0.073,1980-10-31,198010,0.033533844325691446
198011,0.031762048757324565,11514312.5,1.4275303549558334,0.0959,-0.0336,-0.0833,0.0096,0.1522,1980-11-28,198011,0.022162048757324568
198012,0.04466460713592821,3706366.375,1.491290437434548,-0.0452,-0.0026,0.0279,0.0131,-0.0668,1980-12-31,198012,0.03156460713592821
198101,0.055355989723466295,15352846.375,1.5738422955638784,-0.0504,0.0292,0.0672,0.0104,-0.0795,1981-01-30,198101,0.044955989723466296
198102,-0.07242580410093066,6101747.25,1.45985550177961,0.005699999999999999,-0.0034000000000000002,0.0102,0.010700000000000001,-0.013500000000000002,1981-02-27,198102,-0.08312580410093066
198103,-0.009378213807940516,10169913.0,1.4461646647552224,0.0356,0.0354,0.0064,0.0121,0.0074,1981-03-31,198103,-0.021478213807940516
198104,-0.0314535362645984,2535615.75,1.4006776720277632,-0.021099999999999997,0.044000000000000004,0.022799999999999997,0.0108,-0.0091,1981-04-30,198104,-0.04225353626459841
198105,0.01713340807085238,6301009.625,1.4246760541583463,0.0011,0.02,-0.0042,0.0115,0.037000000000000005,1981-05-29,198105,0.005633408070852379
198106,-0.0042987666092813015,9263700.5,1.4185517043076878,-0.0236,-0.0083,0.0513,0.013500000000000002,-0.0581,1981-06-30,198106,-0.017798766609281303
198107,-0.07694594220568737,4838950.125,1.309399906852249,-0.0154,-0.0219,-0.005,0.0124,-0.0245,1981-07-31,198107,-0.08934594220568737
198108,-0.0008504696656018579,7998859.375,1.3082863019513293,-0.0704,-0.0195,0.047599999999999996,0.0128,-0.0115,1981-08-31,198108,-0.013650469665601858
198109,-0.03856591451913118,11941159.875,1.2578310442637242,-0.0717,-0.0265,0.051699999999999996,0.0124,0.0195,1981-09-30,198109,-0.050965914519131184
198110,0.11954849930480116,5326111.0,1.4082028579844432,0.0492,0.0223,-0.0421,0.0121,0.0401,1981-10-30,198110,0.10744849930480116
198111,0.05194845183619428,6714111.875,1.4813568163280393,0.0336,-0.0103,0.0183,0.010700000000000001,-0.0027,1981-11-30,198111,0.04124845183619428
198112,0.062251634779386195,6046571.5,1.5735736998360468,-0.0365,0.012,0.008100000000000001,0.0087,0.013000000000000001,1981-12-31,198112,0.053551634779386195
198201,-0.020537871122360208,8078555.5,1.5412558459872785,-0.032400000000000005,-0.0128,0.0319,0.008,0.0172,1982-01-29,198201,-0.028537871122360208
198202,-0.12086712429299945,4490066.625,1.354968684083022,-0.058600000000000006,0.0044,0.0605,0.0092,0.048799999999999996,1982-02-26,198202,-0.13006712429299944
198203,-0.14026539924088866,6933276.375,1.1649134606512153,-0.0187,-0.0021,0.0381,0.0098,0.0296,1982-03-31,198203,-0.15006539924088866
198204,0.08617632194655013,8091400.25,1.2653014180761641,0.0327,0.0147,-0.027000000000000003,0.0113,-0.004,1982-04-30,198204,0.07487632194655013
198205,-0.021196930824468524,5905595.625,1.2384809114451019,-0.039900000000000005,0.0052,0.0175,0.0106,0.025,1982-05-28,198205,-0.03179693082446852
198206,-0.01191219062699627,5740314.125,1.2237278907400717,-0.030899999999999997,-0.004,0.015300000000000001,0.0096,0.0496,1982-06-30,198206,-0.021512190626996268
198207,0.01057473911593357,18809218.0,1.2366684939335397,-0.0319,0.0083,0.0009,0.0105,0.044500000000000005,1982-07-30,198207,7.473911593356905e-05
198208,0.109658254842673,21895657.625,1.3722794027972085,0.1114,-0.0414,0.0095,0.0076,-0.0352,1982-08-31,198208,0.102058254842673
198209,0.07007694374769922,8889754.875,1.4684445493131546,0.0129,0.029500000000000002,0.0028000000000000004,0.0051,0.04190000000000001,1982-09-30,198209,0.06497694374769922
198210,0.04423184165110189,12801109.75,1.5333965560917977,0.113,0.023399999999999997,-0.0366,0.0059,0.0018,1982-10-29,198210,0.038331841651101886
198211,-0.007167226751334924,9505839.0625,1.5224063552745717,0.0467,0.0467,-0.0187,0.0063,0.059500000000000004,1982-11-30,198211,-0.013467226751334924
198212,-0.055418802425265284,31962663.34375,1.438036418260642,0.0055000000000000005,-0.0022,-0.0002,0.0067,0.0004,1982-12-31,198212,-0.06211880242526528
198301,0.055132158255825445,31520489.625,1.5173184696498283,0.036000000000000004,0.0273,-0.0075,0.0069,-0.0173,1983-01-31,198301,0.04823215825582544
198302,0.05818846154337131,9852136.75,1.6056088970700941,0.0259,0.0327,0.006999999999999999,0.0062,0.0377,1983-02-28,198302,0.05198846154337131
198303,0.028508328134194016,14916146.625,1.6513821223629497,0.0282,0.0173,0.0202,0.0063,0.0092,1983-03-31,198303,0.022208328134194016
198304,-0.009583039807953997,11228973.5,1.635556861746202,0.0667,0.005,0.0049,0.0070999999999999995,0.0172,1983-04-29,198304,-0.016683039807953996
198305,0.06483393837697801,17935863.25,1.7415964545326987,0.0052,0.062400000000000004,-0.013999999999999999,0.0069,-0.015600000000000001,1983-05-31,198305,0.05793393837697801
198306,0.04544491640159062,12332870.125,1.8207431598142438,0.030699999999999998,0.0095,-0.039,0.0067,0.018000000000000002,1983-06-30,198306,0.03874491640159062
198307,0.05281480296980581,17101042.5,1.9169053510584548,-0.0407,0.015,0.0562,0.0074,-0.0313,1983-07-29,198307,0.04541480296980581
198308,0.0048188665314228005,40066783.375,1.9261426620985758,-0.005,-0.042800000000000005,0.0554,0.0076,-0.054299999999999994,1983-08-31,198308,-0.0027811334685771995
198309,0.0519563797861337,20875314.9375,2.0262180617728442,0.0091,0.0060999999999999995,0.0101,0.0076,-0.0003,1983-09-30,198309,0.044356379786133694
198310,-0.04196592303924261,50976680.5,1.9411859505317617,-0.0344,-0.035699999999999996,0.049699999999999994,0.0076,-0.0452,1983-10-31,198310,-0.049565923039242614
198311,0.1447757678106427,39255819.0,2.2222226369832296,0.0216,0.020099999999999996,-0.0072,0.006999999999999999,-0.0013,1983-11-30,198311,0.13777576781064269
198312,0.022008528622488182,13299828.75,2.2711304874948164,-0.0178,-0.0027,0.0173,0.0073,0.0084,1983-12-30,198312,0.014708528622488181
198401,0.09575298066354457,11276194.4375,2.4885980011482944,-0.0192,-0.0038,0.0758,0.0076,-0.0256,1984-01-31,198401,0.08815298066354457
198402,-0.049791081911987695,17123771.125,2.3646880142271107,-0.0482,-0.0169,0.0333,0.0070999999999999995,0.0022,1984-02-29,198402,-0.0568910819119877
198403,0.01272693889040961,36574179.125,2.3947832540790635,0.0063,0.0007000000000000001,0.0046,0.0073,0.010700000000000001,1984-03-30,198403,0.005426938890409611
198404,-0.0033939690329134256,14058497.0,2.3866554338741794,-0.0051,-0.0116,0.012,0.008100000000000001,0.0207,1984-04-30,198404,-0.011493969032913427
198405,0.024265612638555423,26677537.25,2.444569090134274,-0.059699999999999996,0.0006,0.0031,0.0078000000000000005,0.0151,1984-05-31,198405,0.01646561263855542
198406,0.010648988911675098,23241743.5,2.4706012792689376,0.0182,-0.003,-0.026600000000000002,0.0075,-0.006999999999999999,1984-06-29,198406,0.0031489889116750984
198407,-0.08677632315084338,14934213.25,2.2562115842822092,-0.0274,-0.022099999999999998,0.0036,0.008199999999999999,0.0285,1984-07-31,198407,-0.09497632315084338
198408,0.06181731157832676,37138809.0,2.395684518774413,0.10279999999999999,-0.0024,-0.0182,0.0083,-0.0559,1984-08-31,198408,0.05351731157832676
198409,-0.05730859790411259,9171314.0,2.2583911979828626,-0.008,0.0017000000000000001,0.0528,0.0086,0.0362,1984-09-28,198409,-0.06590859790411259
198410,-0.07915076861778891,44972950.375,2.07963779882287,-0.0084,-0.0123,0.0045000000000000005,0.01,0.0316,1984-10-31,198410,-0.08915076861778891
198411,0.06929644322695414,17255780.9375,2.2237493014816265,-0.0176,-0.006500000000000001,0.0406,0.0073,0.016399999999999998,1984-11-30,198411,0.061996443226954134
198412,0.028761031280737398,33218115.875,2.2877066247020577,0.0184,-0.005600000000000001,-0.0026,0.0064,0.0149,1984-12-31,198412,0.0223610312807374
198501,0.07538425949003015,25398673.25,2.460163694535659,0.0799,0.0331,-0.0535,0.006500000000000001,-0.0682,1985-01-31,198501,0.06888425949003014
198502,0.022875196973068838,16477074.625,2.516440423634155,0.012199999999999999,0.0079,-0.001,0.0058,0.018799999999999997,1985-02-28,198502,0.017075196973068838
198503,0.015085246219920632,16780416.125,2.554401547022438,-0.0084,-0.0108,0.0407,0.0062,0.0158,1985-03-29,198503,0.008885246219920633
198504,-0.02585189696401355,7960511.375,2.488365421424097,-0.0096,0.0014000000000000002,0.037200000000000004,0.0072,0.0304,1985-04-30,198504,-0.03305189696401355
198505,-0.000941246182524752,19330547.125,2.486023256970455,0.0509,-0.0222,-0.0096,0.0066,0.039900000000000005,1985-05-31,198505,-0.007541246182524752
198506,0.07603740578310358,12844858.25,2.67505401614695,0.0127,0.0052,0.0038,0.0055000000000000005,0.035699999999999996,1985-06-28,198506,0.07053740578310358
198507,0.06399583638994955,9932764.75,2.8462463352985674,-0.0074,0.028399999999999998,-0.016200000000000003,0.0062,-0.0391,1985-07-31,198507,0.05779583638994955
198508,0.06149775197263807,15597566.875,3.0212840864797887,-0.0102,-0.003,0.0232,0.0055000000000000005,0.018500000000000003,1985-08-30,198508,0.05599775197263807
198509,-0.0021357450944682332,27945209.125,3.0148313938130946,-0.0454,-0.0159,0.0129,0.006,0.0151,1985-09-30,198509,-0.008135745094468233
198510,0.11371199906404529,19225962.25,3.357653898444624,0.04019999999999999,-0.0151,0.0075,0.006500000000000001,0.048799999999999996,1985-10-31,198510,0.10721199906404529
198511,0.048310510282005566,21646869.625,3.519863871628849,0.06480000000000001,0.0025,-0.0285,0.0060999999999999995,-0.004699999999999999,1985-11-29,198511,0.042210510282005564
198512,-0.012715224176645265,56571986.125,3.475108013429814,0.0388,-0.0051,-0.0154,0.006500000000000001,-0.0023,1985-12-31,198512,-0.019215224176645264
198601,0.05205447870927555,73193045.625,3.656002949527329,0.006500000000000001,0.0121,0.0044,0.005600000000000001,0.03,1986-01-31,198601,0.04645447870927555
198602,-0.04038777678377097,23642019.25,3.5083451184810115,0.0713,-0.0054,-0.0072,0.0053,0.0276,1986-02-28,198602,-0.04568777678377097
198603,-0.0027859860048111904,22925537.0625,3.4985709180808757,0.048799999999999996,-0.0059,-0.0039000000000000003,0.006,0.0241,1986-03-31,198603,-0.00878598600481119
198604,0.032565543660894064,25997606.0,3.6125037820643726,-0.0131,0.0278,-0.0287,0.0052,-0.0037,1986-04-30,198604,0.027365543660894064
198605,0.01326541581915483,38221317.34375,3.6604251468817255,0.0462,-0.013500000000000002,-0.0021,0.0049,0.020499999999999997,1986-05-30,198605,0.00836541581915483
198606,-0.03755518273365765,76710976.75,3.522957211607707,0.0103,-0.0096,0.0128,0.0052,0.0507,1986-06-30,198606,-0.04275518273365765
198607,-0.07512435875833033,33705809.15625,3.2582973101526425,-0.0645,-0.0336,0.047,0.0052,0.0183,1986-07-31,198607,-0.08032435875833033
198608,0.009271510566274337,32376940.0,3.288506648091786,0.060700000000000004,-0.0417,0.0351,0.0046,-0.0528,1986-08-29,198608,0.004671510566274337
198609,0.04275817570107228,29590454.109375,3.4291171931450384,-0.086,0.0236,0.0322,0.0045000000000000005,-0.0579,1986-09-30,198609,0.038258175701072275
198610,-0.0770308727631345,21458763.9375,3.164969302950006,0.0466,-0.025,-0.014199999999999999,0.0046,0.0446,1986-10-31,198610,-0.0816308727631345
198611,-0.017395040274343673,18161611.1875,3.109914534458129,0.011699999999999999,-0.0191,-0.0007000000000000001,0.0039000000000000003,-0.0026,1986-11-28,198611,-0.021295040274343674
198612,-0.016520724678412105,32868532.25,3.058536492660954,-0.0327,0.0013,0.0036,0.0049,0.0034999999999999996,1986-12-31,198612,-0.021420724678412106
198701,0.023068235152297556,69554869.875,3.12909153169554,0.1247,-0.0181,-0.0316,0.0042,0.022000000000000002,1987-01-30,198701,0.018868235152297557
198702,0.12212407032752198,33242678.125,3.511228925973579,0.043899999999999995,0.0349,-0.0591,0.0043,-0.0207,1987-02-27,198702,0.11782407032752198
198703,-0.00525565000457897,42488435.75,3.4927751356527086,0.016399999999999998,0.0045000000000000005,0.0161,0.004699999999999999,0.0168,1987-03-31,198703,-0.009955650004578969
